Suggested,Sugjeruar
Could not save image: unsupported file type.,Imazhi nuk mund të ruhej: lloj skedari i pambështetur.
Image with the same file name already exits.,Imazhi me të njëjtin emër skedari tashmë del.
Entity type model '%1' is not found,"Modeli i llojit të njësisë ""%1"" nuk u gjet"
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Modeli i llojit të entitetit duhet të jetë një shembull i \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export,Nuk ka asnjë lloj produkti të disponueshëm për eksport
Related Search Terms,Kushtet e ngjashme të kërkimit
Add New Search Term,Shto termin e ri të kërkimit
Missing search engine parameter.,Mungon parametri i motorit të kërkimit.
Successful! Test again?,E suksesshme! Provoni përsëri?
Connection failed! Test again?,Lidhja dështoi! Provoni përsëri?
Subscription status,Statusi i abonimit
"Sorry, there has been an error processing your request. Please try again later.","Na vjen keq, ka pasur një gabim gjatë përpunimit të kërkesës suaj. Ju lutemi provoni sërish më vonë."
The time value is using an unsupported format. Enter a supported format and try again.,Vlera e kohës po përdor një format të pambështetur. Fut një format të mbështetur dhe provo sërish.
Cron settings can't be saved,Cilësimet e Cron nuk mund të ruhen
There was an error save new configuration value.,Pati një gabim në ruajtjen e vlerës së re të konfigurimit.
Please select an industry.,Ju lutemi zgjidhni një industri.
"Command ""%1"" was not found.","Komanda ""%1"" nuk u gjet."
The data is invalid. Enter the data as a string or data that can be converted into a string and try again.,Të dhënat janë të pavlefshme. Futni të dhënat si një varg ose të dhëna që mund të konvertohen në një varg dhe provoni përsëri.
The data is invalid. Enter the data as a string and try again.,Të dhënat janë të pavlefshme. Futni të dhënat si varg dhe provoni përsëri.
The data is invalid. Use a valid cipher method and try again.,Të dhënat janë të pavlefshme. Përdorni një metodë të vlefshme shifrimi dhe provoni përsëri.
Enter the encryption key and try again.,Futni çelësin e enkriptimit dhe provoni përsëri.
"The ""%1"" source doesn't exist.","Burimi ""%1"" nuk ekziston."
"These arguments can't be empty ""%1""","Këto argumente nuk mund të jenë bosh ""%1"""
Cannot find predefined integration user!,Nuk mund të gjesh përdorues të integruar të paracaktuar!
File is not ready yet.,Skedari nuk është ende gati.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,URL-ja juaj bazë është ndryshuar dhe raportet tuaja po përditësohen. Raportimi i avancuar do të jetë i disponueshëm pasi të përpunohet ky ndryshim. Ju lutemi provoni sërish më vonë.
Failed to synchronize data to the Magento Business Intelligence service.,Sinkronizimi i të dhënave me shërbimin Magento Business Intelligence dështoi.
Retry Synchronization,Riprovoni sinkronizimin
TestMessage,Test Mesazh
Apps and Games,Aplikacionet dhe lojërat
Athletic/Sporting Goods,Mallra atletike/sportive
Art and Design,Art dhe Dizajn
Advanced Reporting,Raportimi i avancuar
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Fitoni njohuri të reja dhe merrni komandën e performancës së biznesit tuaj, duke përdorur produktin tonë dinamik, porosinë dhe raportet e klientëve të përshtatur për të dhënat e klientit tuaj."
Go to Advanced Reporting,Shkoni te Raportimi i Avancuar
Retry,Provo sërish
'Action Details - #' .,'Detajet e veprimit - #' .
"%1 item(s) have been scheduled for update.""","%1 artikull(s) janë planifikuar për përditësim."""
Bulk Actions Log,Regjistri i veprimeve me shumicë
Bulk uuid %bulkUuid not exist,Uuid me shumicë %bulkUuid nuk ekziston
Topic %1,Tema %1
Something went wrong while processing the request.,Ndodhi një gabim gjatë përpunimit të kërkesës.
Error processing %key element of input data,Gabim gjatë përpunimit të %elementit kyç të të dhënave hyrëse
"Sorry, something went wrong during product prices update. Please see log for details.","Na vjen keq, diçka shkoi keq gjatë përditësimit të çmimeve të produkteve. Ju lutemi shikoni regjistrin për detaje."
%1 item(s) are currently being updated.,%1 artikull(ë) po përditësohen aktualisht.
"Task ""%1"":","Detyra ""%1"":"
%1 item(s) have been scheduled for update.,%1 artikull(a) janë planifikuar për përditësim.
%1 item(s) have been successfully updated.,%1 artikull(ë) janë përditësuar me sukses.
%1 item(s) failed to update,%1 artikull(ët) nuk u përditësuan
Details,Detajet
View Details,Shiko detajet
Dismiss,Largoje
"Pending, in queue...","Në pritje, në radhë..."
%1 items selected for mass update,%1 artikuj të zgjedhur për përditësim masiv
", %1 successfully updated",", %1 u përditësua me sukses"
", %1 failed to update",", %1 dështoi të përditësohej"
The role wasn't found for the user. Verify the role and try again.,Roli nuk u gjet për përdoruesin. Verifiko rolin dhe provo sërish.
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Diçka shkoi keq gjatë përpilimit të një liste të burimeve të lejuara. Mund të mësoni më shumë në regjistrin e përjashtimeve.
Bucket and region are required values,Kova dhe rajoni janë vlerat e kërkuara
Invalid security or form key. Please refresh the page.,Çelësi i pavlefshëm sigurie ose formulari. Ju lutemi rifreskoni faqen.
Cache Storage Management,Menaxhimi i ruajtjes së cache
Flush Magento Cache,Flush Magento Cache
The cache storage may contain additional data. Are you sure that you want to flush it?,Ruajtja e cache mund të përmbajë të dhëna shtesë. Jeni i sigurt se doni ta shpëlani atë?
Flush Cache Storage,Flush ruajtjen e cache
Invalidated,I pavlefshëm
Amounts,Shumat
Bestsellers,Shitesit me te mire
Most Viewed Products,Produktet më të shikuara
New Customers,Klientë të rinj
Customers,Klientët
Lifetime Sales,Shitjet gjatë gjithë jetës
Average Order,Rendi mesatar
Average,Mesatare
Revenue,Të ardhurat
Tax,Taksa
Shipping,Transporti
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
All Files,Te gjitha dokumentet
Reset to Default,Rivendos në Parazgjedhje
What is this?,Çfarë është kjo?
Save Account,Ruaj llogarinë
Account Information,Informacioni i Llogarisë
First Name,Emri
Last Name,Mbiemri
User Email,Email-i i përdoruesit
New Password,Fjalëkalim i ri
Password Confirmation,Konfirmimi i fjalëkalimit
Interface Locale,Lokal i ndërfaqes
Current User Identity Verification,Verifikimi aktual i identitetit të përdoruesit
Your Password,Fjalëkalimi juaj
Save Cache Settings,Ruaj cilësimet e cache
Catalog Rewrites,Rishkruan katalogun
Refresh,Rifresko
Images Cache,Cache e imazheve
Search Index,Indeksi i kërkimit
Rebuild,Rindërtoni
Inventory Stock Status,Statusi i stokut të inventarit
Rebuild Catalog Index,Indeksi i rindërtimit të Katalogut
Rebuild Flat Catalog Category,Kategoria e Katalogut të Rindërtuar Flat
Rebuild Flat Catalog Product,Produkti i Katalogut të Rindërtimit Flat
Cache Control,Kontrolli i cache
All Cache,Të gjitha cache
No change,Nuk ka ndryshim
Add Design Change,Shto ndryshimin e dizajnit
Edit Design Change,Redakto ndryshimin e dizajnit
New Store Design Change,Ndryshim i ri i dizajnit të dyqanit
Store,Dyqani
Custom Design,Dizajn me porosi
Date From,Data Nga
Date To,Data për
Design Change,Ndryshimi i Dizajnit
Delete %1 '%2',Fshi %1 '%2'
Delete %1,Fshi %1
Block Information,Blloko informacionin
Backup Options,Opsionet rezervë
Create DB Backup,Krijo kopje rezervë të DB
Delete Web Site,Fshi faqen e internetit
Save Web Site,Ruaj faqen e internetit
Save Store View,Ruaj pamjen e dyqanit
Delete Store View,Fshi pamjen e dyqanit
Edit Web Site,Redakto faqen e internetit
New Web Site,Uebfaqe e re
New Store,Dyqan i ri
Edit Store View,Redakto pamjen e dyqanit
New Store View,Pamje e re e dyqanit
Store Information,Informacioni i dyqanit
Web Site,Faqe në internet
Code,Kodi
Root Category,Kategoria e rrënjës
Default Store View,Pamja e parazgjedhur e dyqanit
Store View Information,Informacioni i pamjes së dyqanit
Sort Order,Renditja e renditjes
Web Site Information,Informacioni i faqes në internet
Default Store,Dyqani i parazgjedhur
Set as Default,Vendose si paresore
Create Website,Krijo Uebfaqe
Create Store,Krijo dyqan
Create Store View,Krijo pamjen e dyqanit
Add New Image,Shto imazh të ri
Export block for grid %1 is not defined,Blloku i eksportit për rrjetin %1 nuk është përcaktuar
Reset Filter,Rivendos filtrin
Any,Çdo
All Countries,Të gjitha vendet
From,Nga
Date selector,Zgjedhësi i datës
[ deleted ],[fshirë]
Select All,Selektoj të gjitha
[deleted],[fshirë]
Add New,Shto nje te ri
Invalid export type supplied for grid export block,Lloji i pavlefshëm i eksportit është dhënë për bllokun e eksportit të rrjetit
Please correct the column format and try again.,Ju lutemi korrigjoni formatin e kolonës dhe provoni përsëri.
Unknown block type,Lloji i panjohur i bllokut
Please correct the tab configuration and try again. Tab Id should be not empty,Ju lutemi korrigjoni konfigurimin e skedës dhe provoni përsëri. ID-ja e skedës nuk duhet të jetë bosh
Please correct the tab configuration and try again.,Ju lutemi korrigjoni konfigurimin e skedës dhe provoni përsëri.
You have logged out.,Ju keni dalë.
These cache type(s) don't exist: %1,Këto lloje të memories nuk ekzistojnë: %1
The image cache was cleaned.,Memoria e memories së imazhit u pastrua.
An error occurred while clearing the image cache.,Ndodhi një gabim gjatë pastrimit të memories së imazhit.
The JavaScript/CSS cache has been cleaned.,Cache JavaScript/CSS është pastruar.
An error occurred while clearing the JavaScript/CSS cache.,Ndodhi një gabim gjatë pastrimit të cache JavaScript/CSS.
The static files cache has been cleaned.,Memoria e memories statike e skedarëve është pastruar.
You flushed the cache storage.,Keni shpëlarë hapësirën ruajtëse të memories.
The Magento cache storage has been flushed.,Hapësira ruajtëse e memories Magento është shpëlarë.
Cache Management,Menaxhimi i cache-it
You can't change status of cache type(s) in production mode,Nuk mund të ndryshosh statusin e llojeve të memories së memories në modalitetin e prodhimit
%1 cache type(s) disabled.,%1 lloj(t) e memories së çaktivizuar.
An error occurred while disabling cache.,Ndodhi një gabim gjatë çaktivizimit të cache.
%1 cache type(s) enabled.,%1 lloj(t) cache-i i aktivizuar.
An error occurred while enabling cache.,Ndodhi një gabim gjatë aktivizimit të cache.
%1 cache type(s) refreshed.,%1 lloj(t) memorie të fshehtë u rifreskuan.
An error occurred while refreshing cache.,Ndodhi një gabim gjatë rifreskimit të memories së memories.
We updated lifetime statistic.,Ne përditësuam statistikat e jetës.
We can't refresh lifetime statistics.,Ne nuk mund të rifreskojmë statistikat e jetës.
invalid request,Kërkesë e pavlefshme
see error log for details,shikoni regjistrin e gabimeve për detaje
Service unavailable: %1,Shërbimi i padisponueshëm: %1
Access Denied.,Ndalohet hyrja.
You need more permissions to do this.,Ju nevojiten më shumë leje për ta bërë këtë.
No search modules were registered,Asnjë modul kërkimi nuk u regjistrua
Please make sure that all global admin search modules are installed and activated.,Ju lutemi sigurohuni që të gjitha modulet globale të kërkimit të administratorit janë instaluar dhe aktivizuar.
You saved the account.,E keni ruajtur llogarinë.
An error occurred while saving account.,Ndodhi një gabim gjatë ruajtjes së llogarisë.
You deleted the design change.,E fshive ndryshimin e dizajnit.
You can't delete the design change.,Ju nuk mund ta fshini ndryshimin e dizajnit.
Store Design,Dizajni i dyqanit
Edit Store Design Change,Redakto ndryshimin e dizajnit të dyqanit
You saved the design change.,Ke ruajtur ndryshimin e dizajnit.
System,Sistemi
Manage Stores,Menaxho dyqanet
The database was backed up.,Baza e të dhënave u rezervua.
We can't create a backup right now. Please try again later.,Nuk mund të krijojmë një kopje rezervë për momentin. Ju lutemi provoni sërish më vonë.
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Fshirja e një %1 nuk do të fshijë informacionin e lidhur me %1 (p.sh. kategoritë, produktet, etj.), por %1 nuk do të mund të restaurohet. Sugjerohet që të krijoni një kopje rezervë të bazës së të dhënave përpara se të fshini %1."
Something went wrong. Please try again.,Dicka shkoi keq. Ju lutemi provoni përsëri.
This store cannot be deleted.,Ky dyqan nuk mund të fshihet.
You deleted the store.,Ju e keni fshirë dyqanin.
Unable to delete the store. Please try again later.,Dyqani nuk mund të fshihet. Ju lutemi provoni sërish më vonë.
This store view cannot be deleted.,Kjo pamje e dyqanit nuk mund të fshihet.
You deleted the store view.,Ke fshirë pamjen e dyqanit.
Unable to delete the store view. Please try again later.,Pamja e dyqanit nuk mund të fshihet. Ju lutemi provoni sërish më vonë.
This website cannot be deleted.,Kjo faqe interneti nuk mund të fshihet.
You deleted the website.,Ju e keni fshirë faqen e internetit.
Unable to delete the website. Please try again later.,Uebsajti nuk mund të fshihet. Ju lutemi provoni sërish më vonë.
The website does not exist.,Faqja e internetit nuk ekziston.
Before modifying the website code please make sure it is not used in index.php.,"Përpara se të modifikoni kodin e faqes së internetit, sigurohuni që ai të mos përdoret në index.php."
The store does not exist,Dyqani nuk ekziston
Store view doesn't exist,Pamja e dyqanit nuk ekziston
Before modifying the store view code please make sure it is not used in index.php.,"Përpara se të modifikoni kodin e pamjes së dyqanit, sigurohuni që ai të mos përdoret në index.php."
New,I ri
All Stores,Të gjitha Dyqanet
Please enable your Store View before using this Web Site as Default,Ju lutemi aktivizoni pamjen tuaj të dyqanit përpara se të përdorni këtë faqe interneti si të parazgjedhur
You saved the website.,Keni ruajtur faqen e internetit.
The default store cannot be disabled,Dyqani i paracaktuar nuk mund të çaktivizohet
You saved the store view.,Ke ruajtur pamjen e dyqanit.
An inactive store view cannot be saved as default store view,Një pamje joaktive e dyqanit nuk mund të ruhet si pamje e paracaktuar e dyqanit
You saved the store.,Ju e shpëtuat dyqanin.
Something went wrong while saving. Please review the error log.,Ndodhi një gabim gjatë ruajtjes. Ju lutemi rishikoni regjistrin e gabimeve.
Authentication storage is incorrect.,Ruajtja e vërtetimit është e pasaktë.
The Admin session lifetime is invalid. Set the lifetime to 31536000 seconds (one year) or shorter and try again.,Jetëgjatësia e seancës së administratorit është e pavlefshme. Vendosni jetëgjatësinë në 31536000 sekonda (një vit) ose më të shkurtër dhe provoni përsëri.
The Admin session lifetime is invalid. Set the lifetime to 60 seconds or longer and try again.,Jetëgjatësia e seancës së administratorit është e pavlefshme. Vendosni jetëgjatësinë në 60 sekonda ose më shumë dhe provoni përsëri.
Order #%1,Porosia #%1
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.","Tasti i URL-së ""%1"" përputhet me një emër të rezervuar të pikës fundore (%2). Përdorni një çelës tjetër URL."
Save &amp; Continue,Ruaj &amp; Vazhdo
Save &amp; Close,Ruaj &amp; Mbylle
Save &amp; New,Ruaj &amp; Risi
"Sorry, you need permissions to view this content.","Na vjen keq, keni nevojë për leje për të parë këtë përmbajtje."
Next steps,Hapat e ardhshëm
"If you think this is an error, try signing out and signing in again.","Nëse mendoni se ky është një gabim, provoni të dilni dhe të identifikoheni përsëri."
Contact a system administrator or store owner to gain permissions.,Kontaktoni një administrator të sistemit ose pronar të dyqanit për të marrë leje.
Return to,Kthehu në
previous page,Faqja e meparshme
"Welcome, please sign in","Mirë se vini, ju lutemi identifikohuni"
user name,emri i përdoruesit
password,fjalëkalimin
Sign in,Hyni
No Data Found,Nuk u gjetën të dhëna
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Grafiku është i çaktivizuar. Për të aktivizuar grafikun, klikoni <a href=""%1"">këtu</a> ."
Select Range:,Zgjidh Gama:
Last Orders,Porositë e fundit
Last Search Terms,Kushtet e fundit të kërkimit
Top Search Terms,Kushtet kryesore të kërkimit
There are no search keywords.,Nuk ka fjalë kyçe kërkimi.
View Statistics For:,Shiko statistikat për:
All Websites,Të gjitha faqet e internetit
Reload Data,Rifresko të dhënat
Magento,Magento
Copyright &copy; %1 Magento Commerce Inc. All rights reserved.,Copyright © %1 Magento Commerce Inc. Të gjitha të drejtat e rezervuara.
Magento Admin Panel,Paneli i Administrimit të Magento
Account Setting,Vendosja e llogarisë
Sign Out,Dilni
About the calendar,Rreth kalendarit
Go Today,Shko sot
WK,WK
Time,Koha
Hour,Ora
Minute,Minuta
JavaScript may be disabled in your browser.,JavaScript mund të jetë i çaktivizuar në shfletuesin tuaj.
To use this website you must first enable JavaScript in your browser.,"Për të përdorur këtë faqe interneti, fillimisht duhet të aktivizoni JavaScript në shfletuesin tuaj."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Ky është vetëm një dyqan demo. Mund të shfletoni dhe të bëni porosi, por asgjë nuk do të përpunohet."
Privacy Policy,Politika e privatësisë
Report an Issue,Raportoni një problem
Scope:,Fushëveprimi:
Additional Cache Management,Menaxhimi shtesë i cache-it
Flush Catalog Images Cache,Flush Cache i imazheve të Katalogut
Pregenerated product images files,Skedarët e imazheve të paragjeneruara të produktit
Flush JavaScript/CSS Cache,Fshini cache JavaScript/CSS
Themes JavaScript and CSS files combined to one file,Temat e skedarëve JavaScript dhe CSS të kombinuara në një skedar
Flush Static Files Cache,Flush Cache i skedarëve statikë
Preprocessed view files and static files,Skedarët e parë të parapërpunuar dhe skedarët statikë
JavaScript/CSS,JavaScript/CSS
JavaScript/CSS Cache,JavaScript/CSS Cache
No records found.,Nuk u gjet asnjë regjistrim.
Big Image,Imazhi i madh
Additional Settings,Cilësimet shtesë
records found,të dhënat e gjetura
selected,të zgjedhura
per page,per faqe
Previous page,Faqja e meparshme
of %1,prej %1
Next page,Faqja tjetër
Export to:,Eksporto në:
Mass Actions,Aksione masive
Unselect All,Hiqi të gjitha
Select Visible,Zgjidhni E dukshme
Unselect Visible,Hiq zgjedhjen e dukshme
Changes have been made to this section that have not been saved.,Në këtë seksion janë bërë ndryshime që nuk janë ruajtur.
This tab contains invalid data. Please resolve this before saving.,Kjo skedë përmban të dhëna të pavlefshme. Zgjidheni këtë përpara se ta ruani.
The information in this tab has been changed.,Informacioni në këtë skedë është ndryshuar.
Loading...,Po ngarkohet...
System Backup,Rezervimi i sistemit
Database and Media Backup,Rezervimi i bazës së të dhënave dhe mediave
Database Backup,Rezervimi i bazës së të dhënave
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arkivi mund të çkompresohet me <a href=""%1"">%2</a> në sistemet Windows."
You need more permissions to activate maintenance mode right now.,Të duhen më shumë leje për të aktivizuar modalitetin e mirëmbajtjes tani.
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Për të krijuar kopjen rezervë, zgjidhni ""Vendosni dyqanin në modalitetin e mirëmbajtjes"" ose përditësoni lejet tuaja."
Something went wrong while putting your store into maintenance mode.,Ndodhi një gabim gjatë vendosjes së dyqanit në modalitetin e mirëmbajtjes.
You need more free space to create a backup.,Ju duhet më shumë hapësirë e lirë për të krijuar një kopje rezervë.
You need more permissions to create a backup.,Ju nevojiten më shumë leje për të krijuar një kopje rezervë.
We can't create the backup right now.,Nuk mund ta krijojmë kopjen rezervë për momentin.
Backups,Rezervimet
Tools,Mjetet
Backup,Rezervimi
We can't delete one or more backups.,Nuk mund të fshijmë një ose më shumë kopje rezervë.
failed,dështoi
successful,e suksesshme
You deleted the selected backup(s).,Keni fshirë rezervat e zgjedhura.
Please correct the password.,Ju lutemi korrigjoni fjalëkalimin.
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Për të përfunduar rikthimin, zgjidhni ""Vendosni dyqanin në modalitetin e mirëmbajtjes"" ose përditësoni lejet tuaja."
We can't find the backup file.,Nuk mund ta gjejmë skedarin rezervë.
We can't connect to the FTP right now.,Nuk mund të lidhemi me FTP për momentin.
Failed to validate FTP.,Vërtetimi i FTP dështoi.
You need more permissions to perform a rollback.,Të duhen më shumë leje për të kryer një rikthim.
Failed to rollback.,Rikthimi dështoi.
Database,Baza e të dhënave
Database and Media,Baza e të dhënave dhe media
System (excluding Media),Sistemi (me përjashtim të mediave)
You created the system backup.,Ju keni krijuar kopjen rezervë të sistemit.
You created the system backup (excluding media).,Keni krijuar kopjen rezervë të sistemit (duke përjashtuar mediat).
You created the database and media backup.,Keni krijuar bazën e të dhënave dhe kopjen rezervë të medias.
You created the database backup.,Keni krijuar kopje rezervë të bazës së të dhënave.
Please correct the order of creation for a new backup.,Ju lutemi korrigjoni rendin e krijimit për një kopje rezervë të re.
The backup file does not exist.,Skedari rezervë nuk ekziston.
The backup file path was not specified.,Rruga e skedarit rezervë nuk u specifikua.
"The backup file ""%1"" does not exist.","Skedari rezervë ""%1"" nuk ekziston."
"Sorry, but we cannot read from or write to backup file ""%1"".","Na vjen keq, por nuk mund të lexojmë ose të shkruajmë në skedarin rezervë ""%1""."
The backup file handler was unspecified.,Trajtuesi i skedarit rezervë ishte i papërcaktuar.
"Something went wrong while writing to the backup file ""%1"".","Ndodhi një gabim gjatë shkrimit në skedarin rezervë ""%1""."
We can't save the Cron expression.,Nuk mund ta ruajmë shprehjen Cron.
Backup functionality is disabled,Funksionaliteti i rezervimit është i çaktivizuar
"You will lose any data created since the backup was made, including admin users, customers and orders.","Do të humbisni çdo të dhënë të krijuar që kur është bërë rezervimi, duke përfshirë përdoruesit e administratorit, klientët dhe porositë."
This may take a few moments.,Kjo mund të zgjasë disa momente.
Be sure your store is in maintenance mode during backup.,Sigurohuni që dyqani juaj të jetë në modalitetin e mirëmbajtjes gjatë kopjimit.
Backup Name,Emri rezervë
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Ju lutemi përdorni vetëm shkronjat (a-z ose A-Z), numrat (0-9) ose hapësirat në këtë fushë."
Maintenance mode,Mënyra e mirëmbajtjes
Please put your store into maintenance mode during backup.,Ju lutemi vendoseni dyqanin tuaj në modalitetin e mirëmbajtjes gjatë kopjimit.
Exclude,Përjashtoni
Exclude media folder from backup,Përjashtoni dosjen e medias nga rezervimi
Please enter the password to confirm rollback.,Ju lutemi vendosni fjalëkalimin për të konfirmuar rikthimin.
This action cannot be undone.,Ky veprim nuk mund të zhbëhet.
User Password,Fjalëkalimi i përdoruesit
Please put your store into maintenance mode during rollback processing.,Ju lutemi vendoseni dyqanin tuaj në modalitetin e mirëmbajtjes gjatë përpunimit të rikthimit.
FTP,FTP
Use FTP Connection,Përdorni lidhjen FTP
FTP credentials,Kredencialet FTP
FTP Host,Pritësi FTP
FTP Login,Hyrja në FTP
FTP Password,Fjalëkalimi FTP
Magento root directory,Drejtoria e rrënjës Magento
Create Backup,Krijo kopje rezervë
"option_id and ""parent_id"" values should be specified","Duhet të specifikohen vlerat ""option_id"" dhe ""parent_id""."
"Value must contain ""model"" property.","Vlera duhet të përmbajë tiparin ""model""."
option_id value should be specified.,"Duhet të specifikohet vlera ""option_id""."
selection_id value should be specified.,"Duhet të specifikohet vlera ""selection_id""."
sku value should be specified,"Vlera ""sku"" duhet të specifikohet"
model value should be specified,"Vlera e ""modelit"" duhet të specifikohet"
"itemModel should be a ""%instance"" instance","itemModel duhet të jetë një shembull ""%instance""."
Percent Discount,Zbritje për qind
-- Select --,-- Zgjidh --
Dynamic,Dinamik
Fixed,E rregulluar
Create New Option,Krijo një opsion të ri
Bundle Items,Artikujt e paketës
Add Products to Option,Shtoni Produkte në Opsion
Delete Option,Opsioni i fshirjes
What are you looking for?,Çfarë po kërkoni?
"There is no defined renderer for ""%1"" option type.","Nuk ka asnjë interpretues të përcaktuar për llojin e opsionit ""%1""."
This is implemented for bundle products only.,Kjo zbatohet vetëm për produktet e paketave.
"The product with the ""%1"" SKU isn't a bundle product.","Produkti me SKU ""%1"" nuk është produkt i paketës."
The bundle product can't contain another composite product.,Produkti i paketës nuk mund të përmbajë një produkt tjetër të përbërë.
The product link needs an ID field entered. Enter and try again.,Lidhja e produktit kërkon të futet një fushë ID. Hyni dhe provoni përsëri.
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Lidhja e produktit me fushën e ID-së ""%1"" nuk u gjet. Verifiko ID-në dhe provo sërish."
"Could not save child: ""%1""","Fëmija nuk mundi të ruhej: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkti me sku të specifikuar: ""%1"" nuk përmban opsionin: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Fëmija me sku të specifikuar: ""%1"" i caktuar tashmë te produkti: ""%2"""
The bundle product doesn't exist. Review your request and try again.,Produkti i paketës nuk ekziston. Rishikoni kërkesën tuaj dhe provoni përsëri.
The option couldn't be saved.,Opsioni nuk mund të ruhej.
"The option with ""%1"" ID can't be deleted.","Opsioni me ID ""%1"" nuk mund të fshihet."
Price Range,Gamë të çmimeve
As Low as,Aq poshte sa
Together,Së bashku
Separately,Veçmas
Please specify product option(s).,Ju lutemi specifikoni opsionet e produktit.
The options you selected are not available.,Opsionet që keni zgjedhur nuk janë të disponueshme.
The required options you selected are not available.,Opsionet e kërkuara që keni zgjedhur nuk janë të disponueshme.
Please select all required options.,Ju lutemi zgjidhni të gjitha opsionet e kërkuara.
Option type (%types) should have only one element.,Lloji i opsionit (%types) duhet të ketë vetëm një element.
Product relations processor must implement %1.,Procesori i marrëdhënieve me produktin duhet të zbatojë %1.
N/A,N/A
Percent,Përqindje
We can't save custom-defined options for bundles with dynamic pricing.,Nuk mund t'i ruajmë opsionet e përcaktuara me porosi për paketat me çmime dinamike.
Add Selected Products,Shtoni Produktet e Përzgjedhura
Add Option,Shto opsion
New Option,Opsion i ri
Option Title,Titulli i opsionit
Default Title,Titulli i parazgjedhur
Store View Title,Titulli i pamjes së dyqanit
Input Type,Lloji i hyrjes
Radio Buttons,Butonat e radios
Checkbox,Kutia e kontrollit
Multiple Select,Përzgjedhja e shumëfishtë
Required,E detyrueshme
Is Default,Është e parazgjedhur
Default Quantity,Sasia e paracaktuar
User Defined,Perdorues i percaktuar
Price Type,Lloji i çmimit
Quantity:,Sasi:
Choose a selection...,Zgjidhni një përzgjedhje...
Ship Bundle Items,Artikujt e paketës së anijes
There are no products in this option.,Nuk ka produkte në këtë opsion.
Invoiced,Faturuar
Shipped,Dërguar
Refunded,Rimbursohet
Canceled,Anuluar
Buy %1 with %2 discount each,Bli %1 me %2 zbritje secili
Go back to product details,Kthehuni te detajet e produktit
Customize and Add to Cart,Personalizo dhe Shto në Shportë
Your Customization,Përshtatja juaj
Summary,Përmbledhje
%1 x %2,%1 x %2
Availability:,Disponueshmëria:
Customize %1,Personalizo %1
No options of this product are available.,Nuk ka opsione të këtij produkti.
Gift Message,Mesazh Dhurate
From:,Nga:
To:,Për:
Message:,Mesazh:
Discount Amount,Shuma e zbritjes
Row Total,Totali i rreshtit
Qty Invoiced,Sasia e faturuar
Qty Shipped,Sasia e dërguar
Always,Gjithmonë
After number of attempts to login,Pas numrit të përpjekjeve për t'u identifikuar
Provided form does not exist,Forma e ofruar nuk ekziston
Incorrect CAPTCHA,CAPTCHA e pasaktë
The account is locked. Please wait and try again or contact %1.,Llogaria është e bllokuar. Ju lutemi prisni dhe provoni përsëri ose kontaktoni %1.
Please enter the letters and numbers from the image,Ju lutemi shkruani shkronjat dhe numrat nga imazhi
<strong>Attention</strong>: Captcha is case sensitive.,<strong>Vëmendje</strong>: Captcha është e ndjeshme ndaj shkronjave të vogla.
Reload captcha,Rifresko captcha
Please type the letters and numbers below,Ju lutemi shkruani shkronjat dhe numrat më poshtë
Authentication Failed. Your card issuer cannot authenticate this card. Please select another card or form of payment to complete your purchase.,"Autentifikimi dështoi. Lëshuesi i kartës suaj nuk mund ta vërtetojë këtë kartë. Ju lutemi, zgjidhni një kartë ose një formë tjetër pagese për të përfunduar blerjen."
"Customer with id ""%customer_id"" does not exist.","Klienti me ID ""%customer_id"" nuk ekziston."
Cannot resolve aggregation option type,Nuk mund të zgjidhet lloji i opsionit të grumbullimit
currentPage value %1 specified is greater than the %2 page(s) available.,Vlera aktuale e faqes %1 e specifikuar është më e madhe se %2 faqe(at) e disponueshme.
CategoryFilterInput type not defined in schema.,Lloji CategoryFilterInput nuk është përcaktuar në skemë.
`%1` and `%2` can't be used at the same time.,"%1 dhe ""%2"" nuk mund të përdoren në të njëjtën kohë."
Invalid match filter. Minimum length is %1.,Filtri i pavlefshëm i përputhjes. Gjatësia minimale është %1.
Attribute label:,Etiketa e atributit:
